AS1299,Arelion (fka. Telia Carrier)
AS1764,Next Layer Telecommunications
AS2611,BELNET
AS2914,"""NTT America", Inc."
AS3214,xTom GmbH
AS3223,Voxility LLP
AS3320,Deutsche Telekom AG
AS4455,IX Reach Ltd
AS5405,Inter.link GmbH
AS6424,EDGOO NETWORKS
AS6461,Zayo Bandwidth
AS6762,Telecom Italia Sparkle (Seabone)
AS8218,Zayo Europe
AS8220,COLT
AS8426,Claranet Limited
AS8473,Bahnhof AB
AS8560,IONOS SE
AS8757,"""NSFOCUS", Inc."
AS9002,RETN Limited
AS12874,Fastweb SpA
AS12876,Scaleway
AS13335,"""Cloudflare", Inc."
AS13807,Great Plains Communications LLC
AS14840,BR.DIGITAL
AS15133,Edgecast Inc.
AS15169,Google LLC
AS15703,TrueFullstaq B.V.
AS16276,OVH SAS
AS16509,"""Amazon.com", Inc."
AS19551,Incapsula Inc
AS19905,"""Vercara", LLC"
AS20546,SOPRADO GmbH
AS20764,CJSC RASCOM
AS20804,Exatel S.A.
AS20860,IOMART CLOUD SERVICES LIMITED
AS21859,Zenlayer Inc
AS24429,Alibaba Cloud
AS24482,SG.GS
AS24940,Hetzner Online GmbH
AS25198,INTERKVM HOST (ZetServers)
AS25369,Hydra Communications Ltd
AS28917,"""Fiord Networks", UAB"
AS29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL
AS30456,Cosmic Global Networks
AS30781,Free Pro SAS
AS30823,aurologic GmbH
AS30844,Liquid Intelligent Technologies
AS31500,Global Network Management Inc
AS32098,Flō Networks (Transtelco Inc.)
AS32787,Akamai (Prolexic)
AS33891,Core-Backbone GmbH
AS34309,Link11 GmbH
AS35133,Eranium B.V.
AS35280,F5 Networks SARL
AS40676,Psychz Networks
AS42649,Baffin Bay Networks AB
AS43350,NForce Entertainment B.V.
AS44066,firstcolo GmbH
AS45090,Tencent Cloud
AS45474,Nexusguard Pte. Ltd.
AS47674,BlazingFast
AS47787,EDGOO NETWORKS UNIPESSOAL LDA
AS49544,i3D.net B.V
AS49600,"""NEAR IP", S.L."
AS49981,WorldStream B.V.
AS50629,LWLcom GmbH
AS50673,Serverius Holding B.V.
AS51167,Contabo GmbH
AS53427,TGLOBAL NETWORKS
AS53813,"""ZSCALER", INC."
AS54113,"""Fastly", Inc."
AS55002,"""F5", Inc."
AS57630,84 Grams AB
AS57724,DDOS-GUARD LTD
AS57811,Redge Technologies sp. z o.o.
AS58212,dataforest GmbH
AS59692,IQWeb FZ-LLC
AS59796,StormWall s.r.o.
AS60068,Datacamp Limited (CDN77 / DataPacket)
AS61624,ISPSHIELD (InfNOC Tecnologia)
AS63949,Akamai (Linode)
AS64289,Macarne.com
AS132203,Tencent
AS135069,Feenix Communications Limited
AS137409,GSL Networks Pty LTD
AS197068,High Load Lab (Qrator)
AS198949,Radware
AS199524,Gcore S.A.
AS200020,Stichting NBIP-NaWas
AS201133,Verdina Ltd.
AS206264,Amarutu Technology Ltd
AS206446,Cloud Lease Ltd
AS206659,Collin Schneeweiss trading as Tievolu GbR
AS207994,Blockchain Creek B.V.
AS212477,RoyaleHosting B.V.
AS263801,LINKEAR SRL
AS264409,Huge Networks
AS265919,BB Host LTDA
AS270735,COMPUTIZE NETWORK TELECOMUNICACOES LTDA
AS396998,"""Path Network", Inc."